filenames,labels
22_199.jpg,Awed
04_199.jpg,fear
22_169.jpg,Awed
05_193.jpg,angry
21_215.jpg,Hatred
21_175.jpg,Hatred
18_217.jpg,Angrily_Disgusted
12_048.jpg,Sadly_Surprised
01_151.jpg,neutral
02_090.jpg,happy
04_193.jpg,fear
03_133.jpg,sad
21_190.jpg,Hatred
04_085.jpg,fear
20_079.jpg,Appalled
05_174.jpg,angry
07_089.jpg,disgust
09_023.jpg,Happily_Disgusted
05_089.jpg,angry
04_023.jpg,fear
16_016.jpg,Fearfully_Disgusted
13_093.jpg,Sadly_Disgusted
03_115.jpg,sad
17_225.jpg,Angrily_Surprised
11_136.jpg,Sadly_Angry
07_195.jpg,disgust
19_099.jpg,Disgustedly_Surprised
14_106.jpg,Fearfully_Angry
03_206.jpg,sad
04_069.jpg,fear
10_083.jpg,Sadly_Fearful
16_218.jpg,Fearfully_Disgusted
20_016.jpg,Appalled
07_096.jpg,disgust
05_015.jpg,angry
13_047.jpg,Sadly_Disgusted
12_051.jpg,Sadly_Surprised
05_217.jpg,angry
05_065.jpg,angry
13_013.jpg,Sadly_Disgusted
01_071.jpg,neutral
19_024.jpg,Disgustedly_Surprised
01_134.jpg,neutral
07_136.jpg,disgust
11_129.jpg,Sadly_Angry
07_095.jpg,disgust
10_189.jpg,Sadly_Fearful
08_186.jpg,Happily_Surprised
09_055.jpg,Happily_Disgusted
14_062.jpg,Fearfully_Angry
18_039.jpg,Angrily_Disgusted
21_151.jpg,Hatred
14_115.jpg,Fearfully_Angry
02_028.jpg,happy
21_114.jpg,Hatred
06_162.jpg,surprise
17_214.jpg,Angrily_Surprised
17_053.jpg,Angrily_Surprised
15_047.jpg,Fearfully_Surprised
06_108.jpg,surprise
19_042.jpg,Disgustedly_Surprised
16_110.jpg,Fearfully_Disgusted
06_170.jpg,surprise
21_018.jpg,Hatred
05_018.jpg,angry
17_208.jpg,Angrily_Surprised
16_177.jpg,Fearfully_Disgusted
12_197.jpg,Sadly_Surprised
16_225.jpg,Fearfully_Disgusted
13_114.jpg,Sadly_Disgusted
08_021.jpg,Happily_Surprised
13_025.jpg,Sadly_Disgusted
11_143.jpg,Sadly_Angry
14_090.jpg,Fearfully_Angry
01_117.jpg,neutral
02_229.jpg,happy
02_078.jpg,happy
05_112.jpg,angry
17_058.jpg,Angrily_Surprised
10_034.jpg,Sadly_Fearful
03_113.jpg,sad
14_141.jpg,Fearfully_Angry
14_229.jpg,Fearfully_Angry
19_120.jpg,Disgustedly_Surprised
07_084.jpg,disgust
15_074.jpg,Fearfully_Surprised
13_204.jpg,Sadly_Disgusted
19_009.jpg,Disgustedly_Surprised
13_008.jpg,Sadly_Disgusted
13_135.jpg,Sadly_Disgusted
09_211.jpg,Happily_Disgusted
11_185.jpg,Sadly_Angry
22_014.jpg,Awed
17_150.jpg,Angrily_Surprised
01_104.jpg,neutral
15_034.jpg,Fearfully_Surprised
06_035.jpg,surprise
22_224.jpg,Awed
18_022.jpg,Angrily_Disgusted
10_177.jpg,Sadly_Fearful
20_223.jpg,Appalled
10_226.jpg,Sadly_Fearful
12_035.jpg,Sadly_Surprised
18_017.jpg,Angrily_Disgusted
14_215.jpg,Fearfully_Angry
19_053.jpg,Disgustedly_Surprised
01_062.jpg,neutral
09_221.jpg,Happily_Disgusted
08_049.jpg,Happily_Surprised
04_185.jpg,fear
06_221.jpg,surprise
01_121.jpg,neutral
09_037.jpg,Happily_Disgusted
05_025.jpg,angry
18_083.jpg,Angrily_Disgusted
20_041.jpg,Appalled
14_010.jpg,Fearfully_Angry
20_184.jpg,Appalled
