1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,y_true
6.50677829032252e-12,0.003961246627545485,6.131423043788726e-10,2.2218251935131866e-06,6.07551593268577e-08,2.62882375718763e-12,0.0032553665271993883,5.7714520104355705e-05,0.9916595130053012,0.0009308743287742333,3.1913628989720897e-09,9.130196572143782e-16,1.4011461692015971e-06,0.00012656453168820395,7.433569707872418e-08,1.6845152090152362e-15,6.377962027708108e-11,5.822465295469913e-09,4.070635816039321e-06,8.820615129547403e-07,5.829483891122725e-20,1.781491873369474e-15,9
5.182629436780296e-18,9.939704735292313e-12,2.084167496486081e-14,3.3896169541359614e-09,0.7673610654315087,6.598728156185025e-19,2.407502221843285e-07,4.21929546747682e-12,2.9965260326171106e-13,0.00019523325483067607,4.036466563035272e-15,2.2074538754581947e-24,8.101312116422052e-12,4.0442165705557366e-11,9.015365095252888e-11,1.72370140989266e-27,1.2439354317455892e-16,2.056168905803589e-12,1.0688713006585351e-05,0.23243276830559564,1.7016670958876366e-25,2.6695840218738492e-18,5
7.314674045205994e-14,2.979385699330006e-07,1.3362778368113568e-11,0.0005026913589420817,0.0016887512585879848,6.214661104258448e-09,4.578626005381554e-05,8.042006820439907e-05,6.067075257030107e-07,0.9936233476794968,6.138781613394573e-12,1.1911854920672793e-14,1.7859444987128343e-07,0.0002230040127364414,1.8189575947131097e-05,8.64710920726954e-17,3.158631341113374e-10,3.752516965738097e-08,0.0005675921055373572,0.003249090360692604,5.455203896657386e-19,3.92284055441026e-12,14
2.2687774121294314e-17,1.7295165233118444e-12,2.1167059543281077e-18,0.07357961020552779,3.4324873946642963e-12,2.4480677097652535e-07,8.946484619527497e-14,0.07857077748030206,4.489311306874699e-16,0.2742243970664365,7.953867234837362e-23,6.119441023498222e-22,1.4904068040681055e-15,6.180147385154928e-10,0.5723769960842567,7.273940454407215e-25,5.3731807919693126e-17,6.740515228116615e-20,0.0012477754785430934,1.6772020193282858e-11,8.748088292211068e-34,1.98238172378827e-07,15
0.08480808781200902,7.162065514315898e-06,0.053966300860156136,7.18614934789217e-05,0.18970252462498607,0.0027575688003394876,0.010847474058111341,3.1022611736037554e-05,6.857578486728628e-05,2.8448567886439817e-05,0.09069443462798654,0.04226393092920777,0.424698940782586,0.07971847471404321,1.5956217773895357e-05,0.000141904208683833,0.007343825095878397,0.006340559562687778,4.288830914578047e-05,0.0001093526893236197,0.006340645849834375,6.033374589752296e-08,1
0.001434435070847063,3.152540884039732e-15,0.002046456161081186,6.719896616626174e-13,1.215950600403882e-09,2.5420942873975965e-08,8.848249351602228e-08,8.039836094332211e-14,1.854629505233464e-13,1.480057456517387e-15,0.0009089847950413236,0.00567665402226203,0.0008814238277496617,3.052954525946945e-06,2.308780349265964e-13,0.00025281554702859065,1.2992212443644087e-05,1.0794121692390118e-05,3.5777719569101113e-13,3.8599364559424314e-13,0.9887722761660241,2.3644550702236317e-15,11
0.008569568124620067,1.6198985335588947e-11,0.004503438393955599,1.1045759599398964e-09,7.259990753367928e-06,2.9655876864514497e-05,8.09024604992551e-06,4.504311921572996e-11,8.807043137955771e-09,1.8473474059814357e-10,0.00022165252691402695,0.0015659921545817276,0.001164749931185193,4.317382792543336e-05,4.763391620327926e-10,1.0326598897034931e-07,0.9838842707951819,9.906505488614879e-07,2.023614418244289e-10,3.7070922663562436e-10,1.0430045032566801e-06,3.9279830422341975e-12,17
0.0014076231116812463,1.4743372806742347e-11,0.04961015689547617,5.229649420502648e-10,1.8351875073182846e-06,4.726317885410317e-07,5.9895308675059513e-05,2.1435283416537817e-12,2.3302495321795842e-08,2.258445925117627e-09,0.9211528769284112,0.005041835911923714,0.015486898990638633,0.00026443795725124655,4.136008463557174e-10,0.005822792420375641,0.00017659261120926917,0.0007008795429657458,2.6326123966288704e-08,1.9917279479577493e-08,0.00027362974340253626,8.691368440838625e-13,11
6.421222038595412e-07,3.88749926905862e-09,4.0898914760310266e-05,4.280733800917617e-07,0.9647334766848217,2.815759459074316e-08,0.0007923714622233174,6.346724070452805e-07,3.801975572687274e-06,6.329634375771528e-06,6.633531123568579e-05,5.90783931830308e-07,0.02365279908067641,0.0038798150331518667,7.334885495615178e-09,2.9603305504944816e-08,1.1916902239785373e-05,8.664499177922846e-05,0.0001403630784076314,0.006575940267024869,6.942028550077016e-06,1.3352093477415848e-14,21
1.1079246741888204e-17,0.003544531845991869,7.770655973159316e-20,0.22914513294079566,6.11111150334029e-13,4.667724851887837e-13,3.9579982836485727e-07,5.436496817859746e-07,1.1058395600690784e-14,0.6966934958234776,8.582378342774757e-22,6.440821590366983e-28,3.159395508311861e-17,6.407491518326671e-10,0.07059127075739151,3.573405444470541e-39,3.449965835107803e-19,1.4479139441118224e-16,1.2495656099069618e-12,2.0292485535029595e-08,5.81826267194982e-37,2.4608247374143212e-05,17
